Active metal,Shape,Electrode support,Particle size (nm),Potential (V vs. RHE),Anion of Electrolyte ,[C] of Anion (M),Cation of Electrolyte ,[C] of Cation (M),Membrane,H2,CO,C1,C2+,sum,< 70,Paper
CuxO,Nanocrystal,Cu,18.2,-0.98,K+,0.1,HCO3-,0.1,AnIon exchange membrane,35.6223176,0.429184549,4.291845494,55.92274678,96.26609442,FALSE,
CuxO,Nanocrystal,Cu,18.2,-0.93,K+,0.1,HCO3-,0.1,AnIon exchange membrane,33.9055794,1.502145923,7.725321888,53.91845494,97.05150215,FALSE,
CuxO,Nanocrystal,Cu,18.2,-0.88,K+,0.1,HCO3-,0.1,AnIon exchange membrane,46.56652361,1.716738197,6.86695279,44.98283262,100.1330472,FALSE,
CuxO,Nanocrystal,Cu,18.2,-0.78,K+,0.1,HCO3-,0.1,AnIon exchange membrane,45.27896996,9.227467811,21.45922747,20.45064378,96.41630902,FALSE,
CuxO,Nanocrystal,Cu,18.2,-0.68,K+,0.1,HCO3-,0.1,AnIon exchange membrane,45.70815451,18.6695279,21.03004292,14.72103004,100.1287554,FALSE,
CuxO,Nanocrystal,Cu,21.8,-1.08,K+,0.1,HCO3-,0.1,AnIon exchange membrane,86.31346578,0,0,9.050772627,95.36423841,FALSE,
CuxO,Nanocrystal,Cu,21.8,-1.03,K+,0.1,HCO3-,0.1,AnIon exchange membrane,63.57615894,0,0.883002208,32.22958057,96.68874172,FALSE,
CuxO,Nanocrystal,Cu,21.8,-0.98,K+,0.1,HCO3-,0.1,AnIon exchange membrane,53.200883,0.220750552,1.103752759,41.12582781,95.65121412,FALSE,
CuxO,Nanocrystal,Cu,21.8,-0.93,K+,0.1,HCO3-,0.1,AnIon exchange membrane,39.73509934,0.883002208,6.622516556,53.09933775,100.3399559,FALSE,
CuxO,Nanocrystal,Cu,21.8,-0.88,K+,0.1,HCO3-,0.1,AnIon exchange membrane,43.70860927,1.766004415,5.960264901,47.16335541,98.598234,FALSE,
CuxO,Nanocrystal,Cu,21.8,-0.83,K+,0.1,HCO3-,0.1,AnIon exchange membrane,53.200883,1.766004415,9.713024283,33.99558499,98.67549669,FALSE,
CuxO,Nanocrystal,Cu,21.8,-0.78,K+,0.1,HCO3-,0.1,AnIon exchange membrane,50.77262693,4.194260486,17.21854305,23.3995585,95.58498897,FALSE,
CuxO,Nanocrystal,Cu,21.8,-0.68,K+,0.1,HCO3-,0.1,AnIon exchange membrane,52.09713024,10.37527594,17.66004415,17.06401766,97.19646799,FALSE,
CuxO,Nanocrystal,Cu,22,-1.08,K+,0.1,HCO3-,0.1,AnIon exchange membrane,100,0,0,1.927710843,101.9277108,FALSE,
CuxO,Nanocrystal,Cu,22,-1.03,K+,0.1,HCO3-,0.1,AnIon exchange membrane,64.3373494,0.481927711,0.963855422,29.87951807,95.6626506,FALSE,
CuxO,Nanocrystal,Cu,22,-0.98,K+,0.1,HCO3-,0.1,AnIon exchange membrane,62.40963855,0.481927711,3.373493976,34.93975904,101.2048193,FALSE,
CuxO,Nanocrystal,Cu,22,-0.93,K+,0.1,HCO3-,0.1,AnIon exchange membrane,41.20481928,0.722891566,3.614457831,50.46987952,96.0120482,FALSE,
CuxO,Nanocrystal,Cu,22,-0.88,K+,0.1,HCO3-,0.1,AnIon exchange membrane,50.84337349,0.963855422,12.04819277,34.45783133,98.31325301,FALSE,
CuxO,Nanocrystal,Cu,22,-0.83,K+,0.1,HCO3-,0.1,AnIon exchange membrane,57.8313253,0.963855422,7.469879518,35.90361446,102.1686747,FALSE,
CuxO,Nanocrystal,Cu,22,-0.78,K+,0.1,HCO3-,0.1,AnIon exchange membrane,61.92771084,2.409638554,9.156626506,30.60240964,104.0963855,FALSE,
CuxO,Nanocrystal,Cu,22,-0.68,K+,0.1,HCO3-,0.1,AnIon exchange membrane,40.24096386,9.879518072,23.61445783,26.97590361,100.7108434,FALSE,
CuxO,Nanocrystal,Cu,33.1,-1.08,K+,0.1,HCO3-,0.1,AnIon exchange membrane,93.99141631,0,0.429184549,7.510729614,101.9313305,FALSE,
CuxO,Nanocrystal,Cu,33.1,-1.03,K+,0.1,HCO3-,0.1,AnIon exchange membrane,77.25321888,0.214592275,0.429184549,17.8111588,95.7081545,FALSE,
CuxO,Nanocrystal,Cu,33.1,-0.98,K+,0.1,HCO3-,0.1,AnIon exchange membrane,59.65665236,0.429184549,1.287553648,37.25321888,98.62660944,FALSE,
CuxO,Nanocrystal,Cu,33.1,-0.93,K+,0.1,HCO3-,0.1,AnIon exchange membrane,54.93562232,1.287553648,2.575107296,39.39914163,98.19742489,FALSE,
CuxO,Nanocrystal,Cu,33.1,-0.88,K+,0.1,HCO3-,0.1,AnIon exchange membrane,46.99570815,1.072961373,5.364806867,42.91845494,96.35193133,FALSE,
CuxO,Nanocrystal,Cu,33.1,-0.83,K+,0.1,HCO3-,0.1,AnIon exchange membrane,46.78111588,1.716738197,9.442060086,39.91416309,97.85407725,FALSE,
CuxO,Nanocrystal,Cu,33.1,-0.78,K+,0.1,HCO3-,0.1,AnIon exchange membrane,52.14592275,2.789699571,14.16309013,26.60944206,95.70815451,FALSE,
CuxO,Nanocrystal,Cu,33.1,-0.68,K+,0.1,HCO3-,0.1,AnIon exchange membrane,47.4248927,7.510729614,24.67811159,18.87553648,98.48927038,FALSE,
CuxO,Nanocrystal,Cu,36.1,-1.08,K+,0.1,HCO3-,0.1,AnIon exchange membrane,96.17117117,0,0,2.702702703,98.87387387,FALSE,
CuxO,Nanocrystal,Cu,36.1,-1.03,K+,0.1,HCO3-,0.1,AnIon exchange membrane,56.08108108,0,0.675675676,43.45945946,100.2162162,FALSE,
CuxO,Nanocrystal,Cu,36.1,-0.98,K+,0.1,HCO3-,0.1,AnIon exchange membrane,46.3963964,0.225225225,2.252252252,51.03603604,99.90990992,FALSE,
CuxO,Nanocrystal,Cu,36.1,-0.93,K+,0.1,HCO3-,0.1,AnIon exchange membrane,36.48648649,1.351351351,3.828828829,54.66666667,96.33333334,FALSE,
CuxO,Nanocrystal,Cu,36.1,-0.88,K+,0.1,HCO3-,0.1,AnIon exchange membrane,53.6036036,0.900900901,6.081081081,37.65765766,98.24324324,FALSE,
CuxO,Nanocrystal,Cu,36.1,-0.83,K+,0.1,HCO3-,0.1,AnIon exchange membrane,61.48648649,1.126126126,6.081081081,34.23423423,102.9279279,FALSE,
CuxO,Nanocrystal,Cu,36.1,-0.78,K+,0.1,HCO3-,0.1,AnIon exchange membrane,57.20720721,2.702702703,9.234234234,31.52252252,100.6666667,FALSE,
CuxO,Nanocrystal,Cu,36.1,-0.68,K+,0.1,HCO3-,0.1,AnIon exchange membrane,54.05405405,2.702702703,12.16216216,30.47747748,99.39639639,FALSE,
Cu,Nanoparticle,Glassy carbon,7,-0.95,K+,0.1,HCO3-,0.1,Ion exchange membrane,42.71047228,6.735112936,13.14168378,0,62.587269,TRUE,Morphological evolution in the absence of carbon dioxide
Cu,Nanoparticle,Glassy carbon,7,-1.05,K+,0.1,HCO3-,0.1,Ion exchange membrane,20.20533881,3.613963039,45.66735113,3.942505133,73.42915811,FALSE,
Cu,Nanoparticle,Glassy carbon,7,-1.15,K+,0.1,HCO3-,0.1,Ion exchange membrane,13.30595483,2.135523614,64.55852156,4.928131417,84.92813142,FALSE,
Cu,Nanoparticle,Glassy carbon,7,-1.25,K+,0.1,HCO3-,0.1,Ion exchange membrane,12.32032854,1.149897331,69.32238193,3.285420945,86.07802875,FALSE,
Cu,Nanoparticle,Glassy carbon,7,-1.35,K+,0.1,HCO3-,0.1,Ion exchange membrane,24.47638604,0.821355236,76.38603696,2.628336756,104.312115,FALSE,
Cu,Nanoparticle,Glassy carbon,7,-1.45,K+,0.1,HCO3-,0.1,Ion exchange membrane,26.11909651,0.164271047,64.39425051,1.478439425,92.15605749,FALSE,
Cu,Needle,Cu,335,-1,K+,0.1,HCO3-,0.1,Proton exchange membrane,37.79527559,9.448818898,17.84776903,34.90813648,100,FALSE,Vertical Cu NanoNeedle Arrays Enhance the Local Electric Field Promoting C2 Hydrocarbons in the CO2 Electroreduction
Cu,Needle,Cu,335,-1.2,K+,0.1,HCO3-,0.1,Proton exchange membrane,20.99737533,1.837270341,17.58530184,59.58005249,100,FALSE,
Cu,Needle,Cu,335,-1.4,K+,0.1,HCO3-,0.1,Proton exchange membrane,22.04724409,1.837270341,27.55905512,48.55643045,100,FALSE,
Cu,Needle,Cu,335,-1.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,35.17060367,2.624671916,41.99475066,20.20997375,100,FALSE,
Cu2S,Core-shell,Glassy carbon,8,-0.85,K+,0.1,HCO3-,0.1,AnIon exchange membrane,15.8,16.5,66,0,98.3,FALSE,Steering post-C-C coupling selectivity enables high efficiency electroreduction of carbon dioxide to multi-carbon alcohols
Cu2S,Core-shell,Glassy carbon,8,-0.9,K+,0.1,HCO3-,0.1,AnIon exchange membrane,16.8,10.5,61.4,8.2,96.9,FALSE,
Cu2S,Core-shell,Glassy carbon,8,-0.95,K+,0.1,HCO3-,0.1,AnIon exchange membrane,13.8,3.5,31.1,50.8,99.2,FALSE,
Cu2S,Core-shell,Glassy carbon,8,-1,K+,0.1,HCO3-,0.1,AnIon exchange membrane,18.5,1.5,29.3,48.5,97.8,FALSE,
Cu2S,Core-shell,Glassy carbon,8,-1.05,K+,0.1,HCO3-,0.1,AnIon exchange membrane,29.8,0.5,19.8,42.4,92.5,FALSE,
Cu2S,Core-shell,Glassy carbon,8,-1.1,K+,0.1,HCO3-,0.1,AnIon exchange membrane,35.5,0,19.4,46.7,101.6,FALSE,
Cu2S,Core-shell,Glassy carbon,8,-1.15,K+,0.1,HCO3-,0.1,AnIon exchange membrane,41.8,0,6,37.3,85.1,FALSE,
CuxO,Sheet,Cu,100,-0.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,36.15702479,10.74380165,29.75206612,23.3481153,100.0010079,FALSE,A strategy to control the grain boundary density and Cu+/Cu0 ratio of Cu-based catalysts for efficient electroreduction of CO2 to C2 products
CuxO,Sheet,Cu,100,-0.7,K+,0.1,HCO3-,0.1,Proton exchange membrane,30.78512397,8.47107438,28.51239669,32.02882483,99.79741987,FALSE,
CuxO,Sheet,Cu,100,-0.8,K+,0.1,HCO3-,0.1,Proton exchange membrane,24.38016529,5.991735537,25.20661157,44.1518847,99.7303971,FALSE,
CuxO,Sheet,Cu,100,-0.9,K+,0.1,HCO3-,0.1,Proton exchange membrane,15.70247934,4.752066116,14.87603306,64.50665188,99.8372304,FALSE,
CuxO,Sheet,Cu,100,-1,K+,0.1,HCO3-,0.1,Proton exchange membrane,27.27272727,4.132231405,16.94214876,51.63525499,99.98236243,FALSE,
CuxO,Sheet,Cu,100,-1.1,K+,0.1,HCO3-,0.1,Proton exchange membrane,41.94214876,2.892561983,14.87603306,39.96119734,99.67194114,FALSE,
CuxO,Sheet,Cu,100,-1.2,K+,0.1,HCO3-,0.1,Proton exchange membrane,54.33884298,1.446280992,11.98347107,31.87915743,99.64775247,FALSE,
Cu,Nanoparticle,Vulcan Carbon,9,-2.2,K+,0.1,HCO3-,0.1,Proton exchange membrane,9.770762871,3.006388576,45.09582864,35.13716648,93.01014657,FALSE,Effect of nanostructured carbon support on copper electrocatalytic activity toward CO2 electroreduction to hydrocarbon fuels
Cu,Nanoparticle,Vulcan Carbon,9,-2,K+,0.1,HCO3-,0.1,Proton exchange membrane,20.48102217,3.945885006,44.53213078,29.87598647,98.83502443,FALSE,
Cu,Nanoparticle,Vulcan Carbon,9,-1.8,K+,0.1,HCO3-,0.1,Proton exchange membrane,20.85682074,10.14656144,24.99060504,40.02254791,96.01653513,FALSE,
Cu,Nanoparticle,Vulcan Carbon,9,-1.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,30.25178504,22.54791432,7.328072153,20.1052236,80.23299511,FALSE,
Cu,Nanoparticle,Vulcan Carbon,9,-1.4,K+,0.1,HCO3-,0.1,Proton exchange membrane,50.9207065,7.703870725,1.87899286,0.375798572,60.87936866,TRUE,
Cu,Nanoparticle,Reduced graphene oxide,13,-2.2,K+,0.1,HCO3-,0.1,Proton exchange membrane,18.33333333,7.586206897,30.55555556,35.40229885,91.87739464,FALSE,
Cu,Nanoparticle,Reduced graphene oxide,13,-2,K+,0.1,HCO3-,0.1,Proton exchange membrane,14.54022989,4.636015326,43.62068966,48.46743295,111.2643678,FALSE,
Cu,Nanoparticle,Reduced graphene oxide,13,-1.8,K+,0.1,HCO3-,0.1,Proton exchange membrane,21.91570881,6.53256705,8.850574713,61.11111111,98.40996168,FALSE,
Cu,Nanoparticle,Reduced graphene oxide,13,-1.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,22.96934866,8.218390805,1.264367816,32.45210728,64.90421456,TRUE,
Cu,Nanoparticle,Reduced graphene oxide,13,-1.4,K+,0.1,HCO3-,0.1,Proton exchange membrane,63.63984674,23.18007663,0,1.264367816,88.08429119,FALSE,
Cu,Nanoparticle,Onion-like carbon,15,-2.2,K+,0.1,HCO3-,0.1,Proton exchange membrane,83.74587459,12.9950495,8.45709571,1.443894389,106.6419142,FALSE,
Cu,Nanoparticle,Onion-like carbon,15,-2,K+,0.1,HCO3-,0.1,Proton exchange membrane,73.01980198,4.331683168,9.282178218,4.125412541,90.75907591,FALSE,
Cu,Nanoparticle,Onion-like carbon,15,-1.8,K+,0.1,HCO3-,0.1,Proton exchange membrane,35.27227723,18.97689769,19.8019802,27.02145215,101.0726073,FALSE,
Cu,Nanoparticle,Onion-like carbon,15,-1.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,32.38448845,22.0709571,1.650165017,14.23267327,70.33828384,FALSE,
Cu,Nanoparticle,Onion-like carbon,15,-1.4,K+,0.1,HCO3-,0.1,Proton exchange membrane,59.61221122,14.23267327,0,0,73.84488449,FALSE,
Cu,Nanocrystal,Cu,4,-1.14,K+,0.1,HCO3-,0.1,Proton exchange membrane,44.02173913,0.489130435,7.826086957,40.59782609,92.93478261,FALSE,Emergence of Potential-Controlled Cu-Nanocuboids and Graphene-Covered Cu-Nanocuboids under Operando CO2 Electroreduction
Cu,Nanocrystal,Cu,4,-1.04,K+,0.1,HCO3-,0.1,Proton exchange membrane,33.99456522,1.222826087,22.01086957,44.02173913,101.25,FALSE,
Cu,Nanocrystal,Cu,4,-0.94,K+,0.1,HCO3-,0.1,Proton exchange membrane,33.26086957,5.135869565,39.86413043,4.64673913,82.9076087,FALSE,
Cu,Nanocrystal,Cu,4,-0.84,K+,0.1,HCO3-,0.1,Proton exchange membrane,47.69021739,10.51630435,34.23913043,0,92.44565217,FALSE,
Cu,Nanocrystal,Cu,4,-0.74,K+,0.1,HCO3-,0.1,Proton exchange membrane,56.98369565,5.380434783,13.94021739,0,76.30434782,FALSE,
Cu,Nanocrystal,Cu,4,-0.64,K+,0.1,HCO3-,0.1,Proton exchange membrane,84.375,4.64673913,17.85326087,0,106.875,FALSE,
CuxO,Cube,Carbon paper,85.3,-0.63,K+,0.1,HCO3-,0.1,Ion exchange membrane,38.50596,13.3688,15.16696,36.82985,103.87157,FALSE,Exploring the influence of cell configurations on Cu catalyst reconstruction during CO2 electroreduction
CuxO,Cube,Carbon paper,85.3,-0.78,K+,0.1,HCO3-,0.1,Ion exchange membrane,40.4613,4.59396,37.90443,34.59035,117.55004,FALSE,
CuxO,Cube,Carbon paper,85.3,-0.92,K+,0.1,HCO3-,0.1,Ion exchange membrane,44.63691,3.13235,19.05228,37.10567,103.92721,FALSE,
CuxO,Cube,Carbon paper,85.3,-1.01,K+,0.1,HCO3-,0.1,Ion exchange membrane,44.01741,2.89283,7.97357,43.67892,98.56273,FALSE,
CuxO,Cube,Carbon paper,85.3,-1.1,K+,0.1,HCO3-,0.1,Ion exchange membrane,61.91701,0.395,0.70387,34.10788,97.12376,FALSE,
CuxO,Nanoparticle ,Carbon paper,92.9,-0.67,K+,0.1,HCO3-,0.1,Ion exchange membrane,61.2035,21.75509,12.77842,1.17412,96.91113,FALSE,
CuxO,Nanoparticle ,Carbon paper,92.9,-0.77,K+,0.1,HCO3-,0.1,Ion exchange membrane,36.69624,9.21004,5.87576,41.16742,92.94946,FALSE,
CuxO,Nanoparticle ,Carbon paper,92.9,-0.89,K+,0.1,HCO3-,0.1,Ion exchange membrane,34.27906,8.31773,8.93614,44.39463,95.92756,FALSE,
CuxO,Nanoparticle ,Carbon paper,92.9,-1.01,K+,0.1,HCO3-,0.1,Ion exchange membrane,55.9402,1.51226,0.49901,40.84411,98.79558,FALSE,
CuxO,Nanoparticle ,Carbon paper,92.9,-1.09,K+,0.1,HCO3-,0.1,Ion exchange membrane,74.0652,0.63784,0,26.35527,101.05831,FALSE,
Cu,Nanoparticle ,Carbon paper,70,-0.69,K+,0.1,HCO3-,0.1,Ion exchange membrane,62.83559,15.42746,13.1083,0.70813,92.07948,FALSE,
Cu,Nanoparticle ,Carbon paper,70,-0.81,K+,0.1,HCO3-,0.1,Ion exchange membrane,32.51599,22.9224,19.57599,22.97109,97.98547,FALSE,
Cu,Nanoparticle ,Carbon paper,70,-0.94,K+,0.1,HCO3-,0.1,Ion exchange membrane,33.89732,9.59037,12.59426,38.11154,94.19349,FALSE,
Cu,Nanoparticle ,Carbon paper,70,-1.04,K+,0.1,HCO3-,0.1,Ion exchange membrane,39.23169,1.89921,8.96719,43.15988,93.25797,FALSE,
Cu,Nanoparticle ,Carbon paper,70,-1.12,K+,0.1,HCO3-,0.1,Ion exchange membrane,68.21901,0.44043,0.65844,27.74754,97.06542,FALSE,
CuxO,Nanocrystal,Cu,10,-0.72,K+,0.1,HCO3-,0.1,Proton exchange membrane,73.97350993,5.321336761,0.461538462,2.081081081,81.83746623,FALSE,Investigating the Origin of Enhanced C2+ Selectivity in Oxide-/Hydroxide-Derived Copper Electrodes during CO2 Electroreduction
CuxO,Nanocrystal,Cu,10,-0.87,K+,0.1,HCO3-,0.1,Proton exchange membrane,35.23178808,7.866323907,0.461538462,30.45945946,74.01910991,FALSE,
CuxO,Nanocrystal,Cu,10,-0.9,K+,0.1,HCO3-,0.1,Proton exchange membrane,37.54966887,4.164524422,3.538461538,36.7027027,81.95535753,FALSE,
CuxO,Nanocrystal,Cu,10,-1.1,K+,0.1,HCO3-,0.1,Proton exchange membrane,28.11258278,0.879177378,4.769230769,60.54054054,94.30153147,FALSE,
CuxO,Nanocrystal,Cu,10,-1.05,K+,0.1,HCO3-,0.1,Proton exchange membrane,21.65562914,1.249357326,2.923076923,68.2972973,94.12536069,FALSE,
CuxO,Nanocrystal,Cu,10,-1.09,K+,0.1,HCO3-,0.1,Proton exchange membrane,30.92715232,0.925449871,5.230769231,66.97297297,104.0563444,FALSE,
CuxO,Nanocrystal,Cu,10,-1.21,K+,0.1,HCO3-,0.1,Proton exchange membrane,31.09271523,0.925449871,13.23076923,57.89189189,103.1408262,FALSE,
Cu(OH)2,Needle,Cu,10,-0.72,K+,0.1,HCO3-,0.1,Proton exchange membrane,55.92715232,8.329048843,0.615384615,4.72972973,69.60131551,TRUE,
Cu(OH)2,Needle,Cu,10,-0.83,K+,0.1,HCO3-,0.1,Proton exchange membrane,46.82119205,8.005141388,0.307692308,17.40540541,72.53943116,FALSE,
Cu(OH)2,Needle,Cu,10,-0.93,K+,0.1,HCO3-,0.1,Proton exchange membrane,36.05960265,4.395886889,0.461538462,42,82.917028,FALSE,
Cu(OH)2,Needle,Cu,10,-1,K+,0.1,HCO3-,0.1,Proton exchange membrane,29.27152318,2.730077121,2.461538462,49,83.46313876,FALSE,
Cu(OH)2,Needle,Cu,10,-1.03,K+,0.1,HCO3-,0.1,Proton exchange membrane,27.1192053,1.434447301,1.538461538,62.43243243,92.52454657,FALSE,
Cu(OH)2,Needle,Cu,10,-1.12,K+,0.1,HCO3-,0.1,Proton exchange membrane,30.59602649,0.925449871,3.076923077,58.83783784,93.43623728,FALSE,
Cu(OH)2,Needle,Cu,10,-1.17,K+,0.1,HCO3-,0.1,Proton exchange membrane,27.1192053,1.017994859,2.307692308,62.43243243,92.8773249,FALSE,
CuxO,Cube,Carbon paper,112,-0.45,K+,0.5,HCO3-,0.5,AnIon exchange membrane,36.6652117,24.00698385,7.420340463,26.40768223,94.50021824,FALSE,Selective Increase in CO2 Electroreduction to Ethanol Activity at Nanograin-Boundary-Rich Mixed Cu(I)/Cu(0) Sites via Enriching Co-Adsorbed CO and Hydroxyl Species
CuxO,Cube,Carbon paper,112,-0.55,K+,0.5,HCO3-,0.5,AnIon exchange membrane,27.06241816,22.4792667,9.384548232,36.6652117,95.59144479,FALSE,
CuxO,Cube,Carbon paper,112,-0.65,K+,0.5,HCO3-,0.5,AnIon exchange membrane,23.78873854,14.84068093,10.03928416,48.88694893,97.55565256,FALSE,
CuxO,Cube,Carbon paper,112,-0.75,K+,0.5,HCO3-,0.5,AnIon exchange membrane,20.29681362,10.03928416,7.202095155,61.76342209,99.30161503,FALSE,
CuxO,Cube,Carbon paper,112,-0.85,K+,0.5,HCO3-,0.5,AnIon exchange membrane,23.78873854,8.293321694,6.983849847,58.48974247,97.55565255,FALSE,
CuxO,Cube,Carbon paper,112,-0.95,K+,0.5,HCO3-,0.5,AnIon exchange membrane,30.55434308,7.202095155,5.674378001,54.77957224,98.21038848,FALSE,
CuxO,Cube,Carbon paper,112,-1.05,K+,0.5,HCO3-,0.5,AnIon exchange membrane,38.19292885,5.892623309,5.892623309,49.10519424,99.08336971,FALSE,
CuxO,Cube,Carbon paper,112,-1.15,K+,0.5,HCO3-,0.5,AnIon exchange membrane,45.39502401,5.674378001,4.80139677,43.21257093,99.08336971,FALSE,
CuxO,Cube,Carbon paper,112,-1.25,K+,0.5,HCO3-,0.5,AnIon exchange membrane,51.72413793,4.583151462,2.837189,39.06591008,98.21038847,FALSE,
Cu,Nano-octahedra,Glassy carbon,75,-1.15,K+,0.1,HCO3-,0.1,AnIon exchange membrane,37.84886416,15.29902643,36.85674548,9.040333797,99.04496987,FALSE,Size dependent selectivity of Cu Nano-octahedra catalysts for the electrochemical reduction of CO2 to CH4
Cu,Nano-octahedra,Glassy carbon,75,-1.25,K+,0.1,HCO3-,0.1,AnIon exchange membrane,26.72229949,1.159017153,57.95085767,12.28558183,98.11775614,FALSE,
Cu,Nano-octahedra,Glassy carbon,75,-1.35,K+,0.1,HCO3-,0.1,AnIon exchange membrane,41.55771905,1.159017153,44.73806212,4.404265183,91.85906351,FALSE,
Cu,Nano-octahedra,Glassy carbon,150,-1.15,K+,0.1,HCO3-,0.1,AnIon exchange membrane,71.69216504,7.185906351,17.15345387,1.390820584,97.42234585,FALSE,
Cu,Nano-octahedra,Glassy carbon,150,-1.25,K+,0.1,HCO3-,0.1,AnIon exchange membrane,39.47148818,3.708854891,44.73806212,7.185906351,95.10431154,FALSE,
Cu,Nano-octahedra,Glassy carbon,150,-1.35,K+,0.1,HCO3-,0.1,AnIon exchange membrane,60.56560037,3.24524803,28.04821511,1.622624015,93.48168753,FALSE,
Cu,Nano-octahedra,Glassy carbon,310,-1.15,K+,0.1,HCO3-,0.1,AnIon exchange membrane,86.52758461,2.086230876,2.086230876,0.927213723,91.62726009,FALSE,
Cu,Nano-octahedra,Glassy carbon,310,-1.25,K+,0.1,HCO3-,0.1,AnIon exchange membrane,84.90496059,1.854427446,3.940658322,0.695410292,91.39545665,FALSE,
Cu,Nano-octahedra,Glassy carbon,310,-1.35,K+,0.1,HCO3-,0.1,AnIon exchange membrane,65.43347242,2.549837738,17.15345387,1.390820584,86.52758461,FALSE,
CuxO,Nanoparticle,Cu,75,-0.64,K+,0.5,HCO3-,0.5,Ion exchange membrane,64.1,4.5,27.1,0,95.7,FALSE,Electroreduction of CO2 to Formate on a Copper-Based Electrocatalyst at High Pressures with High Energy Conversion Efficiency
CuxO,Nanoparticle,Cu,75,-0.84,K+,0.5,HCO3-,0.5,Ion exchange membrane,65.5,3.5,19.4,5.2,93.6,FALSE,
CuxO,Nanoparticle,Cu,75,-1.04,K+,0.5,HCO3-,0.5,Ion exchange membrane,68.9,2,25,6.9,102.8,FALSE,
CuxO,Nanoparticle,Cu,75,-1.24,K+,0.5,HCO3-,0.5,Ion exchange membrane,77.8,0.3,17.1,5.7,100.9,FALSE,
Cu,Nanowire,Cu,25,-0.195,K+,0.1,HCO3-,0.1,AnIon exchange membrane,63,30,7,0,100,FALSE,Mechanistic Insights for Low-Overpotential Electroreduction of CO2 to CO on Copper Nanowires
Cu,Nanowire,Cu,25,-0.295,K+,0.1,HCO3-,0.1,AnIon exchange membrane,29,62,9,0,100,FALSE,
Cu,Nanowire,Cu,25,-0.395,K+,0.1,HCO3-,0.1,AnIon exchange membrane,30,62,8,0,100,FALSE,
Cu,Nanowire,Cu,25,-0.495,K+,0.1,HCO3-,0.1,AnIon exchange membrane,19,54,25,2,100,FALSE,
Cu,Nanowire,Cu,36,-0.495,K+,0.1,HCO3-,0.1,AnIon exchange membrane,77.02407002,21.76724138,16.39240506,0.45,115.6337165,FALSE,
Cu,Nanowire,Cu,36,-0.395,K+,0.1,HCO3-,0.1,AnIon exchange membrane,68.05251641,24.78448276,9.113924051,0,101.9509232,FALSE,
Cu,Nanowire,Cu,36,-0.295,K+,0.1,HCO3-,0.1,AnIon exchange membrane,66.52078775,23.70689655,4.113924051,0,94.34160835,FALSE,
Cu,Nanowire,Cu,36,-0.195,K+,0.1,HCO3-,0.1,AnIon exchange membrane,89.49671772,17.45689655,1.898734177,0,108.8523484,FALSE,
Cu,Nanowire,Cu,31,-0.495,K+,0.1,HCO3-,0.1,AnIon exchange membrane,70.89715536,12.5,9.367088608,0.2,92.96424397,FALSE,
Cu,Nanowire,Cu,31,-0.395,K+,0.1,HCO3-,0.1,AnIon exchange membrane,76.1487965,9.913793103,6.139240506,0,92.20183011,FALSE,
Cu,Nanowire,Cu,31,-0.295,K+,0.1,HCO3-,0.1,AnIon exchange membrane,67.61487965,7.974137931,3.670886076,0,79.25990366,FALSE,
Cu,Nanowire,Cu,31,-0.195,K+,0.1,HCO3-,0.1,AnIon exchange membrane,66.30196937,4.956896552,7.151898734,0,78.41076466,FALSE,
Cu,Nanowire,Cu,47,-0.495,K+,0.1,HCO3-,0.1,AnIon exchange membrane,87.30853392,6.034482759,3.291139241,0,96.63415592,FALSE,
Cu,Nanowire,Cu,47,-0.395,K+,0.1,HCO3-,0.1,AnIon exchange membrane,74.83588621,3.663793103,1.64556962,0,80.14524893,FALSE,
Cu,Nanowire,Cu,47,-0.295,K+,0.1,HCO3-,0.1,AnIon exchange membrane,76.80525164,2.586206897,0.632911392,0,80.02436993,FALSE,
Cu,Nanowire,Cu,47,-0.195,K+,0.1,HCO3-,0.1,AnIon exchange membrane,73.96061269,2.586206897,0,0,76.54681959,FALSE,
Cu,Nanowire,Cu,54,-0.495,K+,0.1,HCO3-,0.1,AnIon exchange membrane,87.30853392,3.017241379,7.151898734,0,97.47767403,FALSE,
Cu,Nanowire,Cu,54,-0.395,K+,0.1,HCO3-,0.1,AnIon exchange membrane,85.33916849,2.370689655,6.518987342,0,94.22884549,FALSE,
Cu,Nanowire,Cu,54,-0.295,K+,0.1,HCO3-,0.1,AnIon exchange membrane,97.37417943,1.077586207,4.683544304,0,103.1353099,FALSE,
Cu,Nanoparticle,Carbon paper,6.7,-0.87,K+,0.1,HCO3-,0.1,AnIon exchange membrane,61.2,10.5,16.2,12.1,100,FALSE,Copper Nanoparticle ensembles for selective electroreduction of CO2 to C2姣廋3 products
Cu,Cube,Carbon plate,25,-0.57,K+,0.1,HCO3-,0.1,AnIon exchange membrane,73.6,15.2,6.4,4.8,100,FALSE,
Cu,Cube,Carbon plate,25,-0.66,K+,0.1,HCO3-,0.1,AnIon exchange membrane,56.7,18.2,14.6,10.5,100,FALSE,
