Active metal,Shape,Electrode support,Particle size (nm),Potential (V vs. RHE),Anion of Electrolyte ,[C] of Anion (M),Cation of Electrolyte ,[C] of Cation (M),Membrane,H2,CO,C1,C2+,sum,< 70,Paper
Cu,Nanoparticle,Glassy carbon,2.3,-1.1,K+,0.1,HCO3-,0.1,Glass frit,61.1,26.48,12.22,1.11,100.91,FALSE,Particle size effects in the catalytic electroreduction of CO2 on Cu Nanoparticles
Cu,Nanoparticle,Glassy carbon,4.8,-1.1,K+,0.1,HCO3-,0.1,Glass frit,68.15,12.04,15.74,4.44,100.37,FALSE,
Cu,Nanoparticle,Glassy carbon,6.7,-1.1,K+,0.1,HCO3-,0.1,Glass frit,69.81,20.74,9.815,0.185,100.55,FALSE,
Cu,Nanoparticle,Glassy carbon,13.1,-1.1,K+,0.1,HCO3-,0.1,Glass frit,64.26,20.56,6.852,8.333,100.005,FALSE,
Cu,Nanoparticle,Glassy carbon,15.1,-1.1,K+,0.1,HCO3-,0.1,Glass frit,59.81,25.55,12.96,2.222,100.542,FALSE,
Cu,Nanoparticle,Carbon paper,7,-0.8,K+,0.1,HCO3-,0.1,AnIon exchange membrane,34.68,10.95,10.07,44.3,100,FALSE,Operando studies reveal active Cu nanograins for CO2 electroreduction
Cu,Nanoparticle,Carbon paper,10,-0.8,K+,0.1,HCO3-,0.1,AnIon exchange membrane,46.97,13.73,12.1,27.2,100,FALSE,
Cu,Nanoparticle,Carbon paper,18,-0.8,K+,0.1,HCO3-,0.1,AnIon exchange membrane,47.35,21.82,23.93,6.9,100,FALSE,
Cu,Nanoparticle,Vulcan XC-72R,12,-1.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,11.2195122,2.682926829,29.26829268,46.58536585,89.75609756,FALSE,CO2 electroreduction to hydrocarbons on carbon-supported Cu Nanoparticles
Cu,Nanoparticle,Vulcan XC-72R,12,-1.4,K+,0.1,HCO3-,0.1,Proton exchange membrane,15.36585366,4.390243902,15.12195122,43.41463415,78.29268293,FALSE,
Cu,Nanoparticle,Vulcan XC-72R,12,-1.2,K+,0.1,HCO3-,0.1,Proton exchange membrane,20.97560976,10.24390244,15.85365854,34.63414634,81.70731708,FALSE,
Cu,Nanoparticle,Vulcan XC-72R,12,-1,K+,0.1,HCO3-,0.1,Proton exchange membrane,29.51219512,20.24390244,1.219512195,10.97560976,61.95121952,TRUE,
Cu,Nanoparticle,Vulcan XC-72R,12,-0.8,K+,0.1,HCO3-,0.1,Proton exchange membrane,51.95121951,16.09756098,0,0,68.04878049,TRUE,
Cu,Nanoparticle,Vulcan XC-72R,12,-0.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,72.68292683,15.12195122,0.975609756,0,88.78048781,FALSE,
Cu,Nanoparticle,single-wall carbon nanotubes,19,-1.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,15.85365854,2.682926829,32.68292683,43.17073171,94.39024391,FALSE,
Cu,Nanoparticle,single-wall carbon nanotubes,19,-1.4,K+,0.1,HCO3-,0.1,Proton exchange membrane,21.2195122,3.902439024,29.75609756,35.6097561,90.48780488,FALSE,
Cu,Nanoparticle,single-wall carbon nanotubes,19,-1.2,K+,0.1,HCO3-,0.1,Proton exchange membrane,22.43902439,7.804878049,16.58536585,35.85365854,82.68292683,FALSE,
Cu,Nanoparticle,single-wall carbon nanotubes,19,-1,K+,0.1,HCO3-,0.1,Proton exchange membrane,39.51219512,18.04878049,1.219512195,15.6097561,74.39024391,FALSE,
Cu,Nanoparticle,single-wall carbon nanotubes,19,-0.8,K+,0.1,HCO3-,0.1,Proton exchange membrane,43.65853659,15.6097561,0,0,59.26829269,TRUE,
Cu,Nanoparticle,single-wall carbon nanotubes,19,-0.6,K+,0.1,HCO3-,0.1,Proton exchange membrane,83.65853659,9.268292683,0,0,92.92682927,FALSE,
